MONOMER-11348	G-8823		toluene dioxygenase iron-sulfur protein &alpha; subunit	
G7345-MONOMER	G7345	P52101	histidine kinase GlrK	QseE, GlrK, YfhZ, YfhK
AT5G49810-MONOMER	AT5G49810			
MONOMER-7583	G-5782	P50442	L-arginine:glycine amidinotransferase subunit	
CAIC-MONOMER	EG11558	P31552	carnitine&mdash;CoA ligase	YaaM, CaiC
MONOMER-17086	G-14889	A4F7N4	dTDP-4-dehydro-6-deoxy-D-glucose 2,3-dehydratase	
MONOMER-14564	G-11135	P12747	acyl-homoserine-lactone synthase	LuxI
MONOMER0-146	G6479	P80644	NADPH-dependent FMN reductase	YcbP, SsuE
MONOMER-19568	G-44270	Q58250	(4-{4-[2-(&gamma;-L-glutamylamino)ethyl]phenoxymethyl}furan-2-yl)methanamine synthase	MfnF
MONOMER-17531	G-15254	F4ZCI3		NnhA
MONOMER-15027	G-11469	Q9AU11	aromatic polyketide synthase	
G3O-33521-MONOMER	G3O-33521	Q12383	tRNA:m<small><sup>4</sup></small>X modification enzyme	tRNA methylase 13, tRNA [Gm4] methyltransferase, tRNA:m4X modification enzyme
MONOMER-19979	G-44679	X5EH87	UDP-<em>N</em>-acetylglucosamine&mdash;undecaprenyl-phosphate <em>N</em>-acetylglucosaminephosphotransferase	TarO
MONOMER-12481			galactosylononitol synthase / stachyose synthase	galactosyltransferase, galactinol-raffinose galactosyltransferase, STS
MONOMER-12027			nucleotide oxidase &delta; subunit	
G7689-MONOMER	G7689	P0AGG8	metalloprotease subunit TldD	YhdO, TldD, protease involved in Microcin B17 maturation and in sensitivity to the DNA gyrase inhibitor LetD
MONOMER-17878	G-15520	B0KSN7	McoA manganese-oxidizing multicopper oxidase	McoA
CHRECP027-MONOMER	CHRECP027	P92276	Photosystem II reaction center protein Z	PsbZ
MONOMER18C3-396	G18C3-375	K4CAF3	sterol 8,7 isomerase	
MONOMER-15570	G-11944	P82604	phenylacetaldoxime dehydratase	OxdA
MONOMER-15126	G-11562	Q01198	GGE dehydrogenase	LigD, C &alpha;-dehydrogenase
MONOMER-12611	G-9680	Q9ZHJ7		ScrB
MONOMER-20297	G-55181	Q9DGD1	&alpha;-1,3-mannosyl-glycoprotein 4-&beta;-<i>N</i>-acetylglucosaminyltransferase C	GnT-VI, <i>N</i>-acetylglucosaminyltransferase VI
PROTOHEME-FERROCHELAT-MONOMER	EG10431	P23871		VisA, PopA, HemH
MONOMER-17974	G-15968	E7DN63	&beta;-amyrin synthase	
MONOMER-18288	G-17792	Q2VMT1	phenylalanine/tyrosine ammonia-lyase monomer	
MONOMER-15674	G-12043	Q9HKT2	lipoate-protein ligase A subunit 2	LplB
MONOMER-20389	G-58177	Q5H398	UDP-<i>N</i>-acetyl-&alpha;-D-muramoyl-L-alanyl-L-glutamate epimerase	MurL, UDP-MurNAc-L-Ala-L-Glu epimerase, UDP-N-acetylmuramic acid-L-Ala-L-Glu epimerase, UDP-N-acetylmuramate-L-Ala-L-Glu epimerase
HS00333-MONOMER	HS00333	O43909	glucuronyl-galactosyl-proteoglycan 4-&alpha;-<i>N</i>-acetylglucosaminyltransferase 1	EXT-related protein 1, glucuronyl-galactosyl-proteoglycan 4-alpha-N-acetylglucosaminyltransferase, hereditary multiple exostoses gene isolog, multiple exostosis-like protein 3, putative tumor suppressor protein EXTL3, Exostosin-like 3
MONOMER-18375	G-17874	O33954	tylactone synthase 1	
HS01349-MONOMER	HS01349	Q9ULC5	long-chain acyl-CoA synthetase 5	LACS 5, long-chain acyl-CoA synthetase 5, long-chain-fatty-acid--CoA ligase 5
EG10595-MONOMER	EG10595	P16384	tRNA dimethylallyltransferase	TrpX, MiaA, tRNA(i<sup>6</sup>A37) synthase
EG10869-MONOMER	EG10869	P0AG55	50S ribosomal subunit protein L6	RplF
MONOMER-20787	G-63046	Q9L4S8	2-cyclohexenylcarbonyl-CoA &Delta;-isomerase monomer	ChcB
PDXY-MONOMER	G6879	P77150	pyridoxal kinase 2	YdgS, PdxY
MONOMER-13129				
HS06563-MONOMER	HS06563	Q16836	Hydroxyacyl-coenzyme A dehydrogenase, mitochondrial	HCDH, Medium and short chain L-3-hydroxyacyl-coenzyme A dehydrogenase, Short chain 3-hydroxyacyl-CoA dehydrogenase
MONOMER-20705	G-58851	F2RB82		CmlH
AT1G26380-MONOMER	AT1G26380	Q9FZC4	2-hydroxy-2-(1H-indol-3-yl)acetonitrile oxidase	
TETRAACYLDISACC4KIN-MONOMER	EG11409	P27300		YcaH, LpxK
MONOMER-13031	G-9927	P00503	aspartate aminotransferase subunit	
MONOMER-2266	G-1626	P58416	&beta; subunit of sulfopyruvate decarboxylase	ComE, sulfopyruvate decarboxylase subunit b, sulfopyruvate decarboxylase subunit &beta;
MONOMER-16091	G-12397	Q939Q5	dTDP-glucose 4,6-dehydratase	JadT
HS05462-MONOMER	HS05462	O00757	fructose-1,6-bisphosphatase 2	D-fructose-1,6-bisphosphate 1-phosphohydrolase 2, FBPase 2
MONOMER-13573	G-10344	Q9XB59	carbapenem synthase subunit	CarC
YJCV-MONOMER	EG11958	P32720	D-allose ABC transporter membrane subunit	YjcV
ASPKINIIHOMOSERDEHYDROGII-MONOMER	EG10590	P00562	fused aspartate kinase/homoserine dehydrogenase 2	MetM, MetL
MONOMER-16541	G-12797	P42256	arabinan endo-1,5-&alpha;-L-arabinanase A	AbnA, arabinan endo-1,5-&alpha;-L-arabinosidase A
EG12666-MONOMER	EG12666	P43341		YbbF, LpxH
SYNPCC7942_0970-MONOMER	SYNPCC7942_0970	P26294	15-<i>cis</i> phytoene desaturase	CrtP, Pds
MONOMER-19162			<i>cis</i>-(-)-7,2'-dihydroxy-4',5'-methylenedioxyisoflavanol dehydratase	
HS13925-MONOMER	HS13925	Q86X55	protein arginine <i>N</i>-methyltransferase 4	coactivator-associated arginine methyltransferase 1
MONOMER-16001	G-12310	Q8KQ23	poly[<i>R</i>)-3-hydroxydecanoate polymerase	polyhydroxyalkanoate polymerase 1
G185E-4610-MONOMER	G185E-4610	B5AFK3		MurB
AT3G20330-MONOMER	AT3G20330	P49077		
MONOMER-13462	G-10252	P38947	succinate semialdehyde dehydrogenase subunit	SucD
AMPG-MONOMER	EG12183	P0AE16	muropeptide:H<sup>+</sup> symporter	AmpG
MONOMER-4581	G-3601		isoflavone synthase	
MONOMER-18690	G-27164	D4HRI5	phosphoenolpyruvate mutase	RhiH
MONOMER-14068	G-10748	Q84V25	2-methylene-furan-3-one reductase	enone oxidoreductase
MONOMER-1121			component I	
MONOMER-16455	G-12723	P31894	CooF ferredoxin-type iron-sulfur protein	CooF
AT5G46180-MONOMER	AT5G46180	Q9FNK4	ornithine-&delta;-aminotransferase	Orn-&delta;-aminotransferase
MONOMER-7481			tryptophan dioxygenase subunit	
EG12045-MONOMER	EG12045	P33919	putative DNA repair helicase RadD	YejI, YejJ, YejH, RadD
MONOMER-17070	G-14873	Q194R4	glucose-1-phosphate thymidylyltransferase	MtmD, dTDP-glucose synthase
MONOMER-14548	G-11119	Q8A712		
MONOMER-21125	G-80640	A0A4V8GZY0	hydroxymethylglutaryl-CoA reductase monomer	HmgR, HmgA, 3-hydroxy-3-methylglutaryl CoA reductase monomer
MONOMER-19552	G-44254	E3GQA8	5-hydroxybenzimidazole synthase BzaA	BzaA
MONOMER-17514			questin monooxygenase	
MONOMER-19071	G-43807		histidyltryptophyldiketopiperazine synthetase	RoqA
G3O-32893-MONOMER	G3O-32893	Q03649	monoacylglycerol lipase	
MONOMER-19962	G-44662	Q8RKI8	teichoic acid glycerol-phosphate primase	TarB
HS10696-MONOMER	HS10696	Q9NZJ9	diphosphoinositol polyphosphate phosphohydrolase 2	diadenosine 5',5'''-P1,P6-hexaphosphate hydrolase 2, DIPP-2
MONOMER-12010	G-9304	Q93V86	chalcone synthase	
G7602-MONOMER	G7602	P64578	ribosome-dependent mRNA interferase toxin HigB	YgjN, HigB, translation-dependent mRNA interferase, toxin of the HigB-HigA toxin-antitoxin system
FESO3OXIATHIO-MONOMER			sulfite:ferric ion oxidoreductase &alpha; subunit	
CHLREDRAFT_205935-MONOMER	CHLREDRAFT_205935	A8IL32	Photosystem I reaction center subunit XI	
MONOMER18C3-3	G18C3-3	K4DBI3	22-hydroxycholesterol 26-oxidase	
AT2G47730-MONOMER	AT2G47730	Q96266	glutathione S-transferase F8 monomer	
MONOMER-15109	G-11544	C4TP07	4-oxalocrotonate tautomerase	PraC, 4-oxalocrotonate tautomerase (misleading)
MONOMER-12583	G-9658	P31077	polysulfide reductase &gamma; subunit	PsrC
7-ALPHA-HYDROXYSTEROID-DEH-MONOMER	EG10425	P0AET8	7-&alpha;-hydroxysteroid dehydrogenase	HdhA, Hsd, HsdH
POTI-MONOMER	EG11632	P0AFL1	putrescine ABC transporter membrane subunit PotI	
MONOMER-17956	G-15949	Q9WXS2	2-keto-3-deoxygluconate kinase	KdgK
YGL012W-MONOMER	YGL012W	P25340		Erg4p
MONOMER-15653	G-12022	P74018	HoxH	
MONOMER-20366	G-58154	A0A0A1GNW8	bifunctional lycopene elongase/1,2-hydratase	LyeJ
MONOMER-4101	G-3141		AdhI	
MONOMER-18359	G-17858	Q83WF0	protomycinolide IV synthase 1	
HS01113-MONOMER	HS01113	Q9BPW9	retinol dehydrogenase 9	3-&alpha; hydroxysteroid dehydrogenase, NADP-dependent retinol dehydrogenase/reductase, RDH-E2, RDHL, short-chain dehydrogenase/reductase retSDR8, dehydrogenase/reductase SDR family member 9
MONOMER-13964			monocyclic monoterpene ketone monooxygenase	
EG10850-MONOMER	EG10850	P0A944	protein <i>N</i>-acetyltransferase RimI	RimI
MONOMER-20770	G-63029	A0A2P6WDZ5	phenylacetate decarboxylase	PhdB
MONOMER-10764	G-8344		respiratory arsenate reductase small subunit	ArrB
MONOMER-13102	G-9980	A3CK37	<i>N</i>-acetylneuraminate lyase subunit	
HS06393-MONOMER	HS06393	Q9Y6N5	sulfide quinone oxidoreductase	
AT5G16150-MONOMER	AT5G16150	Q56ZZ7		
AT1G19670-MONOMER	AT1G19670	O22527	chlorophyllase-1	Chlase, chlorophyll-chlorophyllido hydrolase
SYNPCC7942_2426-MONOMER	SYNPCC7942_2426	Q31KG3	cytochrome b6-f complex subunit 7	PetM, cytochrome b6-f complex subunit PetM, cytochrome b6-f complex subunit VII
MONOMER-16979	G-14797	P19579	capsule biosynthesis protein CapA	CapA
MONOMER-16075	G-12381	Q9I299	methylcrotonyl-CoA carboxylase &alpha;-subunit	LiuD, methylcrotonyl-CoA carboxylase, alpha-subunit (biotin-containing)
MONOMER-13557	G-10328	Q8LSC2	germacrene A synthase	CiGASsh
MONOMER-14441	G-11017	P18886	carnitine palmitoyltransferase 2	carnitine <i>O</i>-palmitoyltransferase 2, mitochondrial, carnitine palmitoyltransferase II, CPT II, CPT-II
YIL043C-MONOMER	YIL043C	P38626	NADH-cytochrome <i>b</i><sub>5</sub> reductase	cytochrome b reductase, NADH-cytochrome b5 reductase 1
MONOMER-18757	G-27225	A7Z0T2		
MONOMER-19459	G-44167	P09787	p-cresol methylhydroxylase c-type cytochrome subunit	PchC
MONOMER-16522	G-12782	P16268	dinitrogenase 3 subunit delta	AnfG, nitrogenase iron-iron protein delta chain
EG12401-MONOMER	EG12401	P36979	23S rRNA m<sup>2</sup>A2503 methyltransferase/tRNA m<sup>2</sup>A37 methyltransferase	YfgB, RlmN, ribosomal RNA large subunit methyltransferase N
MONOMER-17422	G-15197	P73832	cyanophycinase	CphB, cyanophycin protease
MONOMER-2223	G-1583	Q92ZP7	stachydrine <i>N</i>-demethylase flavoprotein subunit	Stc3
MONOMER-19144	G-43872	A0A024FRG9	thujaplicatin 5-<i>O</i>-methyltransferase	
G3O-29145-MONOMER	G3O-29145	P38130	&alpha;-1,2 mannosyltransferase KTR3	
HS13124-MONOMER	HS13124	Q96PE7	methylmalonyl CoA epimerase	DL-methylmalonyl-CoA racemase
G12WB-503-MONOMER	G12WB-503	Q188I1	2-hydroxyisocaproyl-CoA dehydratase subunit B	HadB
MONOMER-67				quinoprotein quinate dehydrogenase
AT3G15850-MONOMER	AT3G15850	Q949X0		
ALDDEHYDROGB-MONOMER	EG12292	P37685	aldehyde dehydrogenase B	YiaX, AldB
MONOMER-19872	G-44580	Q9I4X2	2-heptyl-4(1<i>H</i>)-quinolone synthase	PqsB
MONOMER-4481	G-3521	Q59476	glycerol dehydratase large subunit	PduC, GldA, glycerol dehydratase &alpha; subunit
MONOMER-14045	G-10732	Q9XGI7		
MONOMER-11869				
MONOMER-11125			sarcosine oxidase large subunit	
AT5G40280-MONOMER	AT5G40280	Q38920	farnesyltransferase &beta;-subunit	
G7237-MONOMER	G7237	P69902	formyl-CoA transferase	YfdW, Frc
MONOMER-17054	G-14857	Q59819	8,8a-deoxyoleandolide monooxygenase	OleP
MONOMER-14532	G-11102	P56815	pyruvate synthase subunit &delta;	PorD
BSU38860-MONOMER	BSU38860	P55180	UDP-glucose 4-epimerase	UDP-galactose 4-epimerase subunit, GneA, Gne, GalE
MONOMER-19527	G-44232	A9QNL1	FMN reductase (NADH) monomer	LuxG
MONOMER-17495	G-15239	B3QHC2		HpnG
MONOMER-9724				
G3O-32452-MONOMER	G3O-32452	Q06708	vacuole morphology and inheritance protein 14	
MONOMER-7343				
MONOMER-15007	G-11454	P70712	kynureninase subunit	
MONOMER-19941	G-44640	L8EVF8	4-dedimethylamino-4-oxo-anhydrotetracycline transaminase	OxyQ, 4-oxo-anhydrotetracycline aminotransferase
MONOMER-11990			sphingolipid C4-hydroxylase	sphinganine C4-monooxygenase, sphingolipid 4-hydroxylase
MONOMER-12449	G-9567	Q38Q86		
G7533-MONOMER	G7533	P0C066	membrane-bound lytic murein transglycosylase C	YggZ, MltC
CHLREDRAFT_184071-MONOMER	CHLREDRAFT_184071	Q8S3T8	Major light-harvesting complex II protein m7	
MONOMER-17856			flavonol 3-<i>O</i>-glucoside 4"-<i>O</i>-coumaroyltransferase	
MONOMER18C3-143	G18C3-140		sucrose triacyl 6-<i>O</i>-acyltransferase	
MONOMER-15089	G-11523	Q8KIC8	P450 oxygenase RebP	RbmE, RebP
MONOMER-15553	G-11926		codeine <i>O</i>-demethylase	
MONOMER-12558	G-9643	Q9FV68	acyl-CoA 5-desaturase	&Delta;5 acyl-CoA desaturase
PITB-MONOMER	EG12883	P43676	metal phosphate:H<sup>+</sup> symporter PitB	PitB
MONOMER-20272	G-55157	Q9I1H0	L-alanine--[alanyl-carrier-protein] ligase AmbB	AmbB
MONOMER-17933	G-15928	Q57851	dihydroneopterin aldolase monomer	MptD
MONOMER-15636	G-12006	P31005	NAD-dependent methanol dehydrogenase monomer	Mdh
MONOMER-18272	G-17776	Q8XAC2	D-galactosamine-6-phosphate deaminase/isomerase	AgaS
MONOMER-20347	G-58135	Q8KF75	lycopene &beta;-monocyclase	CruA
MONOMER-18338	G-17838	H1ZZB0	4-hydroxy-2-methyl-3-oxo-4-farnesyl-3,4-dihydroquinoline-1-oxide 3-reductase	AuaH
HS00083-MONOMER	HS00083	P19801	amiloride-sensitive amine oxidase [copper-containing]	
HS00906-MONOMER	HS00906	P14618	pyruvate kinase M1/M2	CTHBP, cytosolic thyroid hormone-binding protein, M2-PK, p58, pyruvate kinase 2/3, pyruvate kinase muscle isozyme, THBP1, tumor M2-PK
EG10812-MONOMER	EG10812	P0A7F9		TsaA, QueA
EG10515-MONOMER	EG10515	P03961	K<sup>+</sup> transporting P-type ATPase subunit KdpC	KdpC, Kac
MONOMER-20754	G-63011	F8QPH2	ansamycin ring hydroxylase	
MONOMER-13082			malate dehydrogenase subunit	
PANTOTHENATE-KIN-MONOMER	EG10922	P0A6I3	pantothenate kinase	Rts, PanK, CoaA, type I pantothenate kinase
HS06090-MONOMER	HS06090	P10606	cytochrome c oxidase subunit 5B	cytochrome c oxidase polypeptide Vb
AT1G15500-MONOMER	AT1G15500	P92935	ATP / ADP transporter	
MONOMER-20681	G-58828	P51852	phenylpyruvate decarboxylase	IpdC
